Make,Model,Media_preco
AM,General,59934.21052631579
Acura,CLAutomatic,4492.666666666667
Acura,CLManual,4493.0
Acura,CLType-S,5207.736842105263
Acura,ILX4dr,15490.0
Acura,ILX5-Speed,17214.413636363635
Acura,ILX6-Speed,16240.052631578947
Acura,ILXAcuraWatch,21908.14285714286
Acura,ILXAutomatic,22464.898395721924
Acura,ILXHybrid,16692.727272727272
Acura,ILXPremium,24611.380952380954
Acura,ILXTechnology,26896.954545454544
Acura,IntegraGS,3746.5
Acura,IntegraLS,3879.6666666666665
Acura,IntegraRS,3997.0
Acura,MDX3.5L,48019.0
Acura,MDX4WD,10867.395147313691
Acura,MDXACURA,11975.0
Acura,MDXAWD,26904.574617346938
Acura,MDXAdvance,38900.0
Acura,MDXBase,22256.70588235294
Acura,MDXFWD,34391.130168453295
Acura,MDXSH-AWD,41585.4958283671
Acura,MDXSport,54515.0
Acura,MDXwith,24451.117647058825
Acura,NSXCoupe,175328.6
Acura,NSXManual,86995.0
Acura,RDX*1-OWNER*LTHR*ROOF*BACK-UP*TECH,11995.0
Acura,RDX4WD,10411.587837837838
Acura,RDXAWD,26934.15265700483
Acura,RDXBase,19600.875
Acura,RDXFWD,26525.088524590163
Acura,RDXwith,20128.30769230769
Acura,RL4dr,12709.302631578947
Acura,RLAutomatic,7495.59349593496
Acura,RLXAutomatic,30482.041666666668
Acura,RLXBase,24854.947368421053
Acura,RLXHybrid,40087.875
Acura,RLXwith,28490.3908045977
Acura,RSXAutomatic,6397.363636363636
Acura,RSXManual,7191.8
Acura,RSXType-S,8741.641025641025
Acura,SLX4WD,5995.0
Acura,TL2WD,17712.00699300699
Acura,TL3.2,6245.0
Acura,TL4dr,11664.42857142857
Acura,TLAutomatic,6859.20955882353
Acura,TLBase,17796.57627118644
Acura,TLManual,8015.727272727273
Acura,TLSH-AWD,19302.618181818183
Acura,TLSpecial,19391.35714285714
Acura,TLType-S,4839.392857142857
Acura,TLXFWD,25802.03599374022
Acura,TLXSH-AWD,30905.821782178216
Acura,TLwith,17755.925
Acura,TSX,17282.685185185186
Acura,TSX4dr,11352.45581395349
Acura,TSX5-Speed,17910.729559748426
Acura,TSXAutomatic,11397.42
Acura,TSXManual,7418.863636363636
Acura,TSXPremium,18488.0
Acura,TSXSpecial,18506.054545454546
Acura,TSXV6,14492.5
Acura,ZDXAWD,20291.133333333335
Acura,ZDXBase,25895.0
Alfa,Romeo,54228.704545454544
Aston,Martin,99573.61744966442
Audi,A3,32422.941176470587
Audi,A32.0T,18383.954545454544
Audi,A34dr,11291.293333333333
Audi,A3Cabriolet,28382.74418604651
Audi,A3Sedan,22584.319284802044
Audi,A42.0T,22634.127377998346
Audi,A42004,6282.944444444444
Audi,A42004.5,5762.5
Audi,A42005,6729.823529411765
Audi,A42005.5,7591.444444444444
Audi,A42007,8425.0
Audi,A42007.5,7866.09756097561
Audi,A42dr,9857.042253521127
Audi,A44dr,12061.770218228497
Audi,A45dr,8895.82142857143
Audi,A4AWD,17939.0
Audi,A4Premium,36439.73235294117
Audi,A4Prestige,45507.86666666667
