Price,Year,Mileage,City,State,Make,Model
39795,1999,93865,Indianapolis,IN,AM,General
45000,1998,79163,Dallas,TX,AM,General
46795,2000,64142,South River,NJ,AM,General
48900,2000,73204,Fredericksburg,VA,AM,General
49999,1998,118000,Newnan,GA,AM,General
54990,1997,26201,Denver,CO,AM,General
54995,2000,101581,Sacramento,CA,AM,General
56400,1999,61824,Bentonville,AR,AM,General
59980,1997,88521,Lewisville,TX,AM,General
59995,2000,113814,Tampa,FL,AM,General
61998,2001,92060,Addison,TX,AM,General
64000,2000,77274,Falmouth,MA,AM,General
65927,2000,24381,New Canaan,CT,AM,General
65999,1997,52201,Costa Mesa,CA,AM,General
67000,2001,24168,Rapid City,SD,AM,General
67995,2001,28269,Wilsonville,OR,AM,General
68988,1997,75640,Deland,FL,AM,General
69995,2000,35917,San Diego,CA,AM,General
89999,2001,49100,Houston,TX,AM,General
2981,1999,224765,Oklahoma City,OK,Acura,CLAutomatic
3990,1997,165613,Pleasanton,CA,Acura,CLAutomatic
4495,1998,93969,Danbury,CT,Acura,CLAutomatic
4995,1997,121462,Sneads Ferry,NC,Acura,CLAutomatic
4995,2001,139903,Indianapolis,IN,Acura,CLAutomatic
5500,2001,87625,Lynnwood,WA,Acura,CLAutomatic
1999,1999,219575,Lynnwood,WA,Acura,CLManual
6987,1999,131254,Oregon City,OR,Acura,CLManual
2995,2001,200000,SPRING VALLEY,CA,Acura,CLType-S
3495,2003,211659,Jacksonville,FL,Acura,CLType-S
3500,2001,163824,Boyertown,PA,Acura,CLType-S
3995,2001,152471,Tampa,FL,Acura,CLType-S
3995,2003,154634,Lafayette,IN,Acura,CLType-S
3999,2001,157700,Stone Mountain,GA,Acura,CLType-S
3999,2003,146975,Dallas,TX,Acura,CLType-S
4724,2001,87206,Fishers,IN,Acura,CLType-S
4900,2001,137800,Tucson,AZ,Acura,CLType-S
4995,2003,120732,Jacksonville,FL,Acura,CLType-S
4999,2003,124498,Bell,CA,Acura,CLType-S
5275,2001,122250,WOODSBORO,MD,Acura,CLType-S
5977,2003,111674,Middletown,CT,Acura,CLType-S
5985,2001,154892,Virginia Beach,VA,Acura,CLType-S
5993,2002,110353,Beaverton,OR,Acura,CLType-S
6345,2003,146749,Houston,TX,Acura,CLType-S
6790,2003,109564,Edgewater Park,NJ,Acura,CLType-S
6995,2001,182552,Brookfield,WI,Acura,CLType-S
9991,2001,172604,Littleton,CO,Acura,CLType-S
15490,2015,40131,Kennesaw,GA,Acura,ILX4dr
8924,2013,189327,Des Plaines,IL,Acura,ILX5-Speed
9995,2013,63887,El Paso,TX,Acura,ILX5-Speed
10790,2013,111751,Fredericksburg,VA,Acura,ILX5-Speed
10888,2013,19606,Long Island City,NY,Acura,ILX5-Speed
10999,2014,39922,Windsor,CO,Acura,ILX5-Speed
11300,2013,90585,Westampton,NJ,Acura,ILX5-Speed
11700,2013,87748,Wilkes-Barre,PA,Acura,ILX5-Speed
11890,2014,77898,Greatneck,NY,Acura,ILX5-Speed
11982,2013,69027,Lakewood,NJ,Acura,ILX5-Speed
11995,2013,104111,Louisville,KY,Acura,ILX5-Speed
11995,2014,76722,Hackettstown,NJ,Acura,ILX5-Speed
12000,2013,40527,Long Island City,NY,Acura,ILX5-Speed
12491,2014,92106,Elmhurst,IL,Acura,ILX5-Speed
12558,2013,73003,Chamblee,GA,Acura,ILX5-Speed
12591,2014,88107,Timonium,MD,Acura,ILX5-Speed
12799,2013,88257,Cumming,GA,Acura,ILX5-Speed
12888,2014,67101,Dallas,TX,Acura,ILX5-Speed
12930,2014,61189,Littleton,CO,Acura,ILX5-Speed
12983,2013,98298,Madison,WI,Acura,ILX5-Speed
12995,2013,50162,Morrow,GA,Acura,ILX5-Speed
12995,2013,76713,Bethlehem,PA,Acura,ILX5-Speed
12995,2013,114012,Bakersfield,CA,Acura,ILX5-Speed
12999,2013,88110,Glen Burnie,MD,Acura,ILX5-Speed
12999,2013,90420,Longmont,CO,Acura,ILX5-Speed
13085,2013,104301,Kernersville,NC,Acura,ILX5-Speed
13290,2013,62478,Miami,FL,Acura,ILX5-Speed
13495,2013,63147,Midway City,CA,Acura,ILX5-Speed
13499,2014,35037,West Covina,CA,Acura,ILX5-Speed
13499,2014,45355,Montclair,CA,Acura,ILX5-Speed
13695,2013,45213,Doral,FL,Acura,ILX5-Speed
13750,2013,81043,Sacramento,CA,Acura,ILX5-Speed
13799,2013,31055,Stanton,CA,Acura,ILX5-Speed
13813,2013,70828,Garland,TX,Acura,ILX5-Speed
13900,2013,79302,Columbus,MS,Acura,ILX5-Speed
13900,2014,78361,Ellisville,MO,Acura,ILX5-Speed
13900,2015,51544,Rahway,NJ,Acura,ILX5-Speed
13970,2013,51345,Marietta,GA,Acura,ILX5-Speed
13975,2014,66853,Westmont,IL,Acura,ILX5-Speed
13977,2013,35370,Akron,OH,Acura,ILX5-Speed
13987,2013,63810,Tracy,CA,Acura,ILX5-Speed
13989,2013,71817,Sanford,FL,Acura,ILX5-Speed
13990,2014,69550,Edgewater Park,NJ,Acura,ILX5-Speed
13991,2013,70542,Katy,TX,Acura,ILX5-Speed
13995,2013,76725,Sacramento,CA,Acura,ILX5-Speed
13995,2013,99167,Orlando,FL,Acura,ILX5-Speed
13995,2013,101960,Hialeah,FL,Acura,ILX5-Speed
13995,2014,30214,Dumfries,VA,Acura,ILX5-Speed
13995,2014,67261,Nashville,TN,Acura,ILX5-Speed
13997,2013,55670,Temecula,CA,Acura,ILX5-Speed
13999,2013,62173,Houston,TX,Acura,ILX5-Speed
13999,2015,49192,West Palm Beach,FL,Acura,ILX5-Speed
13999,2015,49881,Miami Gardens,FL,Acura,ILX5-Speed
14226,2014,44226,Roswell,GA,Acura,ILX5-Speed
14395,2013,54046,Hackettstown,NJ,Acura,ILX5-Speed
14477,2015,53555,Duluth,GA,Acura,ILX5-Speed
14495,2013,37513,Chantilly,VA,Acura,ILX5-Speed
14495,2014,27577,Doral,FL,Acura,ILX5-Speed
14499,2014,33363,Miami,FL,Acura,ILX5-Speed
14500,2014,38814,Kissimmee,FL,Acura,ILX5-Speed
14500,2014,64575,Buford,GA,Acura,ILX5-Speed
14533,2013,68738,Shelby,MI,Acura,ILX5-Speed
14567,2015,52922,Sarasota,FL,Acura,ILX5-Speed
14595,2013,37852,Bay Shore,NY,Acura,ILX5-Speed
14630,2013,62057,Springfield,PA,Acura,ILX5-Speed
14642,2013,46133,Plantation,FL,Acura,ILX5-Speed
14700,2014,75011,Greensboro,NC,Acura,ILX5-Speed
14782,2013,69820,Norco,CA,Acura,ILX5-Speed
14795,2013,29198,Midway City,CA,Acura,ILX5-Speed
14857,2015,60552,Ocala,FL,Acura,ILX5-Speed
14858,2015,73548,Jacksonville,Fl,Acura,ILX5-Speed
14895,2015,29755,Greatneck,NY,Acura,ILX5-Speed
14895,2015,46243,Wappingers Falls,NY,Acura,ILX5-Speed
14900,2013,29100,Plano,TX,Acura,ILX5-Speed
14900,2014,73851,South Jordan,UT,Acura,ILX5-Speed
14976,2013,45776,Shreveport,LA,Acura,ILX5-Speed
14988,2013,39361,Creve Coeur,MO,Acura,ILX5-Speed
14989,2015,37882,Pelham,AL,Acura,ILX5-Speed
14990,2014,48041,Kennesaw,GA,Acura,ILX5-Speed
14990,2015,23603,Freeport,NY,Acura,ILX5-Speed
14991,2014,37469,Avenel,NJ,Acura,ILX5-Speed
14994,2014,22266,Seffner,FL,Acura,ILX5-Speed
14994,2014,34599,Wappingers Falls,NY,Acura,ILX5-Speed
